Date,AAPL,AMZN,GOOG,MSFT
2020-01-02,72.62083435058594,94.90049743652344,68.04620361328125,153.04226684570312
2020-01-03,71.9148178100586,93.74849700927734,67.71227264404297,151.1366729736328
2020-01-06,72.48786163330078,95.14399719238281,69.38188171386719,151.52732849121094
2020-01-07,72.14694213867188,95.34300231933594,69.33857727050781,150.14572143554688
2020-01-08,73.30750274658203,94.59850311279297,69.88500213623047,152.5372772216797
2020-01-09,74.86463165283203,95.05249786376953,70.65682983398438,154.44297790527344
2020-01-10,75.03387451171875,94.15799713134766,71.14950561523438,153.7283477783203
2020-01-13,76.63692474365234,94.56500244140625,71.62226867675781,155.57681274414062
2020-01-14,75.60208129882812,93.47200012207031,71.20673370361328,154.48104858398438
2020-01-15,75.2780532836914,93.10099792480469,71.62076568603516,155.48155212402344
2020-01-16,76.22105407714844,93.89700317382812,72.24282836914062,158.3304443359375
2020-01-17,77.06489562988281,93.23600006103516,73.67056274414062,159.2166290283203
2020-01-21,76.54263305664062,94.5999984741211,73.87012481689453,158.64488220214844
2020-01-22,76.81584167480469,94.37300109863281,73.94725036621094,157.88259887695312
2020-01-23,77.18578338623047,94.22899627685547,73.98208618164062,158.85455322265625
2020-01-24,76.96334075927734,93.08200073242188,72.98978424072266,157.25376892089844
2020-01-27,74.70020294189453,91.41699981689453,71.35701751708984,154.62399291992188
2020-01-28,76.81343078613281,92.6624984741211,72.28562927246094,157.6539764404297
2020-01-29,78.42131805419922,92.9000015258789,72.58768463134766,160.11224365234375
2020-01-30,78.30767059326172,93.53399658203125,72.44884490966797,164.62860107421875
2020-01-31,74.83562469482422,100.43599700927734,71.37344360351562,162.1989288330078
2020-02-03,74.63008880615234,100.20999908447266,73.94674682617188,166.1531219482422
2020-02-04,77.09391784667969,102.4834976196289,72.01241302490234,171.62232971191406
2020-02-05,77.7225570678711,101.99349975585938,72.07014465332031,171.41268920898438
2020-02-06,78.63166809082031,102.5114974975586,73.46354675292969,174.9667205810547
2020-02-07,77.56285858154297,103.96399688720703,73.61283874511719,175.21450805664062
2020-02-10,77.93125915527344,106.69550323486328,75.07839965820312,179.79754638671875
2020-02-11,77.46105194091797,107.54000091552734,75.08386993408203,175.738525390625
2020-02-12,79.30058288574219,108.0,75.55563354492188,175.9958038330078
2020-02-13,78.73588562011719,107.49349975585938,75.37599182128906,175.0430145263672
2020-02-14,78.75528717041016,106.74349975585938,75.67855834960938,176.60562133789062
2020-02-18,77.313232421875,107.78350067138672,75.62530517578125,178.3968963623047
